Ntotal t1 t2 t3 t4 t5 winner prob_superior2 prob_superior3 prob_superior4 prob_superior5 prob_futile2 prob_futile3 prob_futile4 prob_futile5
50 9 11 9 9 12 4 0.658 0.846 0.79 0.992 0.342 0.154 0.21 0.008
80 18 13 19 12 18 4 0.198 0.834 0.344 0.992 0.802 0.166 0.656 0.008
110 25 14 19 23 29 4 0.466 0.536 0.75 0.992 0.534 0.464 0.25 0.008
110 22 17 14 25 32 4 0.218 0.21 0.628 0.992 0.782 0.79 0.372 0.008
140 33 20 22 29 36 4 0.952 0.67 0.702 1 0.048 0.33 0.298 0
140 24 12 14 29 61 4 0.312 0.132 0.278 0.998 0.688 0.868 0.722 0.002
80 10 21 20 9 20 4 0.964 0.912 0.884 1 0.036 0.088 0.116 0
140 32 26 15 16 51 4 0.472 0.288 0.574 0.998 0.528 0.712 0.426 0.002
200 29 24 22 13 112 4 0.112 0.052 0.178 0.996 0.888 0.948 0.822 0.004
170 32 31 30 17 60 4 0.736 0.71 0.344 1 0.264 0.29 0.656 0
80 16 19 10 18 17 4 0.626 0.736 0.866 0.998 0.374 0.264 0.134 0.002
50 7 9 13 13 8 4 0.714 0.852 0.746 1 0.286 0.148 0.254 0
140 29 17 39 14 41 4 0.278 0.696 0.1 0.998 0.722 0.304 0.9 0.002
110 18 29 13 26 24 4 0.966 0.606 0.918 0.996 0.034 0.394 0.082 0.004
200 48 16 53 18 65 4 0.186 0.794 0.294 0.998 0.814 0.206 0.706 0.002
110 20 20 18 25 27 4 0.47 0.36 0.638 0.994 0.53 0.64 0.362 0.006
50 7 12 14 5 12 4 0.866 0.752 0.444 0.992 0.134 0.248 0.556 0.008
50 10 7 10 11 12 4 0.868 0.308 0.798 1 0.132 0.692 0.202 0
140 30 41 29 8 32 4 0.62 0.414 0.048 1 0.38 0.586 0.952 0
50 10 10 15 8 7 3 0.6 0.476 0.994 0.754 0.4 0.524 0.006 0.246
140 23 33 24 31 29 4 0.718 0.488 0.664 0.994 0.282 0.512 0.336 0.006
80 26 9 10 23 12 4 0.226 0.576 0.818 0.992 0.774 0.424 0.182 0.008
260 51 12 29 26 142 4 0.08 0.226 0.07 1 0.92 0.774 0.93 0
50 13 9 6 10 12 4 0.388 0.178 0.686 1 0.612 0.822 0.314 0
170 34 28 36 25 47 4 0.772 0.918 0.858 1 0.228 0.082 0.142 0
