Ntotal t1 t2 t3 t4 t5 winner prob_superior prob_futile
170 40 38 30 37 25 1 0.992 0.466
200 43 27 38 51 41 NA 0.64 0.672
200 38 25 48 52 37 NA 0.982 0.522
200 44 30 53 46 27 NA 0.89 0.968
200 36 39 32 37 56 NA 0.82 0.934
200 40 45 80 21 14 NA 0.43 0.976
200 41 50 45 30 34 NA 0.474 0.874
200 41 50 13 46 50 NA 0.078 0.954
200 36 19 28 34 83 NA 0.384 0.976
200 37 40 47 39 37 NA 0.934 0.514
200 30 17 12 66 75 NA 0.858 0.916
200 46 49 12 46 47 NA 0.508 0.922
200 39 10 23 71 57 NA 0.086 0.986
50 5 14 9 13 9 -1 0.968 0.098
200 39 37 54 40 30 NA 0.256 0.942
200 28 34 51 50 37 NA 0.736 0.604
50 13 9 10 12 6 -1 0.988 0.08
200 36 33 58 39 34 NA 0.418 0.904
50 7 9 8 12 14 -1 0.964 0.076
200 29 18 85 34 34 NA 0.246 0.926
200 46 67 61 16 10 NA 0.55 1
200 41 49 31 37 42 NA 0.898 0.502
200 35 71 40 20 34 NA 0.272 0.91
50 11 10 11 10 8 4 0.994 0.188
200 29 31 44 50 46 NA 0.862 0.3
200 43 25 31 53 48 NA 0.806 0.416
200 31 31 30 58 50 NA 0.756 0.656
200 46 57 44 28 25 NA 0.84 0.894
200 38 33 56 41 32 NA 0.948 0.558
50 10 5 12 12 11 -1 0.994 0.062
200 46 34 46 44 30 NA 0.648 0.758
200 34 22 23 60 61 NA 0.092 0.982
200 44 56 34 38 28 NA 0.392 0.926
200 44 61 30 33 32 NA 0.102 0.998
200 35 48 32 46 39 NA 0.922 0.602
200 40 29 69 11 51 NA 0.686 0.966
200 43 68 21 55 13 NA 0.344 0.978
200 38 26 51 43 42 NA 0.912 0.818
200 44 17 45 66 28 NA 0.774 0.902
200 49 56 29 46 20 1 0.994 0.774
200 38 54 38 39 31 NA 0.954 0.444
200 40 32 54 31 43 NA 0.824 0.444
200 38 43 31 47 41 NA 0.22 0.946
